title,year,genre,director,rating,votes,runtime,revenue
Emperor of the North,1973,"Drama, Action, Adventure",James Cameron,4.7,24660,124,
Enter the Dragon,1973,Martial Arts,Christopher Nolan,7.7,118898,117,
Executive Action,1973,"Drama, Thriller",Steven Spielberg,5.1,9223,103,
The Exorcist,1973,"Horror, Supernatural",Ridley Scott,6.7,62490,131,
Five on the Black Hand Side,1973,Comedy,Alfred Hitchcock,5.2,2120,154,
Fly Me,1973,"Action, Erotic",Peter Jackson,7.4,66328,98,
Frank Film,1973,"Animated, Short",Denis Villeneuve,5.7,42850,102,279.6
The Friends of Eddie Coyle,1973,"Crime, Drama, Noir",David Fincher,5.9,96466,124,
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1973,Family,Wes Anderson,8.2,64087,72,215.7
Ganja & Hess,1973,Horror,Quentin Tarantino,6.7,16173,121,36.2
Genesis II,1973,Science Fiction,Wes Anderson,6.5,8759,90,62.6
Godspell,1973,Musical,Peter Jackson,4.6,7016,113,
The Golden Voyage of Sinbad,1973,"Fantasy, Adventure",Stanley Kubrick,8.3,26970,114,1663.4
Gordon's War,1973,"Adventure, Action, War",Peter Jackson,6.1,4734,90,
Group Marriage,1973,"Comedy, Erotic",Stanley Kubrick,6.7,66330,98,765.7
Guns of a Stranger,1973,Western,Martin Scorsese,5.4,11988,134,
"Happy Mother's Day, Love George",1973,"Thriller, Mystery",Ridley Scott,5.8,14545,124,25.4
The Harrad Experiment,1973,Drama,Quentin Tarantino,9.1,12080,117,11.5
Harry in Your Pocket,1973,"Drama, Comedy",Wes Anderson,6.6,209477,108,94.5
Heavy Traffic,1973,"Animated, Live Action, Comedy",Denis Villeneuve,6.2,7625,102,20.9
Hell Up in Harlem,1973,"Crime, Drama, Noir",Peter Jackson,5.3,19881,123,29.0
Hex,1973,"Western, Horror, Supernatural",Peter Jackson,4.1,24371,103,15.0
High Plains Drifter,1973,Western,Alfred Hitchcock,5.1,61492,119,52.4
Hijack,1973,"Action, Drama, Thriller",Wes Anderson,6.6,41005,113,67.0
Hit!,1973,Action,Francis Ford Coppola,7.2,81274,107,
I Escaped from Devil's Island,1973,Action,Alfred Hitchcock,6.1,44022,90,
The Iceman Cometh,1973,Drama,Steven Spielberg,6.0,3885,95,137.4
Idaho Transfer,1973,Science Fiction,James Cameron,6.8,149649,109,
Interval,1973,"Romance, Drama",Wes Anderson,6.1,12561,91,93.1
Invasion of the Bee Girls,1973,Science Fiction,David Fincher,6.3,67207,117,60.0
Jesus Christ Superstar,1973,"Musical, Drama",Christopher Nolan,6.1,85272,106,91.1
Jeremy,1973,"Romance, Drama",James Cameron,4.0,16474,148,
Jonathan Livingston Seagull,1973,Drama,Christopher Nolan,6.7,25430,97,177.1
Jory,1973,Western,Martin Scorsese,5.0,15720,119,
Kid Blue,1973,"Western, Comedy",Alfred Hitchcock,6.0,6645,68,644.0
The Killing Kind,1973,Horror,Unknown Director,5.4,14103,92,
Lady Ice,1973,Crime,Coen Brothers,6.9,127323,146,497.3
The Last American Hero,1973,"Biography, Sports, Drama",Christopher Nolan,5.4,78018,137,648.2
The Last Detail,1973,"Comedy, Drama",Denis Villeneuve,7.8,11290,112,15.7
The Last of Sheila,1973,Mystery,Coen Brothers,8.2,87198,108,11.7
The Laughing Policeman,1973,"Crime, Drama, Noir",Martin Scorsese,6.6,11278,124,12.6
The Legend of Hell House,1973,"Horror, Supernatural",Steven Spielberg,6.6,67526,91,185.8
Little Cigars,1973,Comedy,Ridley Scott,6.5,290,97,239.4
Little Laura and Big John,1973,Crime,Denis Villeneuve,5.4,2024,132,85.9
Live and Let Die,1973,"Action, Spy",David Fincher,7.0,30278,90,
Lolly-Madonna XXX,1973,Drama,Francis Ford Coppola,7.7,38417,82,
The Long Goodbye,1973,"Mystery, Crime, Noir",Francis Ford Coppola,7.8,54998,135,
Lost Horizon,1973,"Adventure, Fantasy, Musical",Ridley Scott,6.4,83967,116,187.3
Love and Pain and the Whole Damn Thing,1973,"Drama, Comedy",Francis Ford Coppola,6.5,8241,130,91.9
Luther,1973,"Drama, Biography",Francis Ford Coppola,9.0,205766,122,86.0
The Mack,1973,"Crime, Drama",Denis Villeneuve,5.2,6706,94,
The Mackintosh Man,1973,"Thriller, Noir, Spy",Coen Brothers,7.4,1517,111,
Magnum Force,1973,"Crime, Drama, Action",Francis Ford Coppola,6.9,28137,95,
The Man Who Loved Cat Dancing,1973,Western,Christopher Nolan,6.2,18345,106,858.3
Marco,1973,"Historical, Musical, Adventure",David Fincher,5.9,39865,110,24.1
Maurie,1973,"Sports, Drama, Biography",Unknown Director,5.9,43236,110,18.9
Mean Streets,1973,"Drama, Crime",Martin Scorsese,6.6,3778,119,9.7
Messiah of Evil,1973,"Horror, Supernatural",Stanley Kubrick,8.4,28489,115,
The Naked Ape,1973,Comedy,Peter Jackson,5.4,112549,106,452.8
A Name for Evil,1973,Horror,Francis Ford Coppola,4.1,18426,137,720.8
The Neptune Factor,1973,Science Fiction,Quentin Tarantino,7.8,18335,81,72.1
The No Mercy Man,1973,"Action, Western",Quentin Tarantino,5.8,81815,109,
Oklahoma Crude,1973,"Comedy, Drama, Western",Alfred Hitchcock,5.8,14782,86,28.8
One Little Indian,1973,"Western, Comedy",David Fincher,6.0,43187,116,69.8
The Outfit,1973,"Noir, Crime",James Cameron,7.6,19995,99,310.2
The Paper Chase,1973,"Drama, Comedy",Quentin Tarantino,5.3,25116,124,110.3
Paper Moon,1973,"Comedy, Drama",Ridley Scott,5.8,97044,129,
Papillon,1973,"Historical, Drama",Francis Ford Coppola,7.5,81348,93,41.7
Pat Garrett and Billy the Kid,1973,"Western, Biography",James Cameron,7.7,112078,133,123.5
Please Don't Eat My Mother,1973,Comedy,Francis Ford Coppola,7.4,103147,142,3.7
Robin Hood,1973,"Animated, Adventure, Comedy",David Fincher,4.6,21496,112,58.6
The Roommates,1973,Thriller,James Cameron,5.2,1505,77,45.5
Sssssss,1973,Horror,David Fincher,5.6,67610,98,346.1
Santee,1973,Western,Peter Jackson,4.9,1199,133,
Savage!,1973,Action,Wes Anderson,6.5,11508,128,765.6
Savage,1973,"Thriller, Drama",Alfred Hitchcock,7.8,82182,98,
Save the Tiger,1973,Drama,Coen Brothers,6.1,100941,87,
Scalawag,1973,Adventure,Ridley Scott,6.4,31609,123,
Scarecrow,1973,Drama,Paul Thomas Anderson,7.6,92076,95,
Scorpio,1973,"Thriller, Spy",Martin Scorsese,7.1,30161,81,100.3
Scream Blacula Scream,1973,Horror,James Cameron,5.6,3132,119,403.3
"Scream, Pretty Peggy",1973,Horror,Martin Scorsese,4.7,21565,99,
Serpico,1973,"Biography, Crime, Drama",Steven Spielberg,4.9,44663,134,193.8
The Seven-Ups,1973,"Crime, Drama, Action",Denis Villeneuve,5.0,39437,111,
Shaft in Africa,1973,Action,Steven Spielberg,7.3,62900,132,
Shamus,1973,"Crime, Drama, Comedy",Denis Villeneuve,5.1,13558,126,
Showdown,1973,Western,Paul Thomas Anderson,5.5,19407,103,
Sisters,1973,Horror,Coen Brothers,8.5,15786,123,132.8
The Slams,1973,Action,Martin Scorsese,5.3,27696,123,112.0
Slaughter's Big Rip-Off,1973,Unknown,Alfred Hitchcock,3.9,3010,96,6.3
Sleeper,1973,"Science Fiction, Comedy, Satire",Martin Scorsese,5.9,67542,116,113.4
Slither,1973,"Crime, Comedy, War",David Fincher,4.8,7168,127,
Snatched,1973,"Crime, Drama, Thriller",Stanley Kubrick,6.0,10654,130,129.5
Some Call It Loving,1973,"Drama, Erotic, Mystery",Denis Villeneuve,7.2,125424,85,93.7
The Soul of Nigger Charley,1973,Western,Stanley Kubrick,5.1,82223,124,706.5
Soylent Green,1973,"Science Fiction, Thriller",Francis Ford Coppola,7.7,71757,77,
The Spook Who Sat By the Door,1973,"Drama, Action, Crime",David Fincher,6.1,2895,110,176.3
Stacey,1973,Action,Coen Brothers,5.3,2312,135,
Steelyard Blues,1973,"Comedy, Crime",Wes Anderson,5.9,17758,110,158.6
The Sting,1973,"Crime, Comedy",Ridley Scott,8.2,18753,96,58.4
The Stone Killer,1973,"Crime, Action, Noir",Paul Thomas Anderson,8.0,115415,127,1119.0
The Student Teachers,1973,Comedy,Coen Brothers,6.0,4995,80,5.4
"Summer Wishes, Winter Dreams",1973,"Drama, War",Alfred Hitchcock,7.6,145346,136,120.7
Superchick,1973,"Action, Comedy",Ridley Scott,7.5,29244,98,
Superdad,1973,"Family, Comedy",Francis Ford Coppola,5.9,19393,114,
Super Fly T.N.T.,1973,"Action, Crime, Drama",Steven Spielberg,3.8,7721,144,22.5
"Sweet Jesus, Preacherman",1973,Action,Alfred Hitchcock,7.0,29196,103,44.8
Sweet Kill,1973,Thriller,Coen Brothers,7.5,66107,134,
Terminal Island,1973,"Action, Drama, Thriller",Denis Villeneuve,4.5,13363,137,235.0
Terror in the Wax Museum,1973,"Mystery, Horror",Unknown Director,7.4,68832,116,311.5
That Man Bolt,1973,Action,Coen Brothers,6.6,85378,103,0.4
The Thief Who Came to Dinner,1973,"Crime, Comedy",Ridley Scott,6.5,13349,111,230.5
The Three Musketeers,1973,Adventure,Francis Ford Coppola,6.1,39080,90,84.7
Tom Sawyer,1973,Musical,Steven Spielberg,7.9,735,121,62.9
Trader Horn,1973,Adventure,Wes Anderson,7.4,93481,122,51.5
The Train Robbers,1973,Western,Christopher Nolan,5.6,1319,119,
Treasure Island,1973,"Animated, Adventure",Denis Villeneuve,5.8,30722,125,
Two People,1973,Drama,Wes Anderson,8.1,2292,150,440.2
Walking Tall,1973,"Crime, Action, Noir",Coen Brothers,8.2,26561,128,
A Warm December,1973,"Drama, Romance",Quentin Tarantino,7.5,29196,102,
The Way We Were,1973,"Romance, Drama",Ridley Scott,6.5,1780,131,48.1
The Werewolf of Washington,1973,"Horror, Comedy",Paul Thomas Anderson,4.5,30642,113,
Westworld,1973,"Science Fiction, Western",Stanley Kubrick,4.9,8446,140,222.5
White Lightning,1973,Action,Unknown Director,5.4,40677,86,25.1
"Wicked, Wicked",1973,"Horror, Thriller",Wes Anderson,6.3,24490,143,4.3
The World's Greatest Athlete,1973,"Sports, Comedy",Quentin Tarantino,8.3,18219,92,211.6
The Young Nurses,1973,Thriller,Martin Scorsese,7.4,77000,94,
Your Three Minutes Are Up,1973,Comedy,Ridley Scott,7.5,67752,110,70.8
Jimi Hendrix,1973,"Musical, Documentary",Stanley Kubrick,6.2,87421,108,154.5
Manson,1973,Documentary,Martin Scorsese,7.8,79291,85,
Visions of Eight,1973,Documentary,Francis Ford Coppola,7.6,39082,95,39.1
11 Harrowhouse,1974,"Drama, Comedy, Thriller",James Cameron,4.5,13847,87,29.7
99 and 44/100% Dead,1974,"Crime, Action, Comedy",James Cameron,6.0,19171,147,634.7
Abby,1974,Horror,Francis Ford Coppola,7.4,225390,98,377.6
Act of Vengeance,1974,Crime,James Cameron,5.3,36480,79,
Airport 1975,1974,Disaster,Martin Scorsese,8.5,520310,101,85.9
Alice Doesn't Live Here Anymore,1974,"Drama, Comedy",Ridley Scott,7.1,55250,111,
Amazing Grace,1974,Comedy,Coen Brothers,8.4,212663,80,
The Arena,1974,Action,Denis Villeneuve,6.9,64912,117,451.1
Bad Ronald,1974,"Horror, Thriller",Stanley Kubrick,7.2,91608,128,205.1
Bank Shot,1974,"Crime, Comedy, Action",Quentin Tarantino,7.2,249,115,7.6
The Bat People,1974,Horror,Denis Villeneuve,6.4,26584,131,64.3
The Bears and I,1974,Drama,Peter Jackson,8.1,62239,73,407.6
Benji,1974,Family,Alfred Hitchcock,7.9,85175,98,
Beyond the Door,1974,"Horror, Supernatural",Quentin Tarantino,5.6,32374,121,
Big Bad Mama,1974,"Action, Comedy, Crime",Quentin Tarantino,6.1,18301,85,
Billy Two Hats,1974,Western,Stanley Kubrick,6.6,282597,106,
Black Belt Jones,1974,"Action, Martial Arts",Stanley Kubrick,8.0,41339,106,45.2
Black Eye,1974,"Action, Noir",Denis Villeneuve,7.0,24374,149,45.1
The Black Godfather,1974,"Crime, Drama",Peter Jackson,6.3,18897,109,93.9
Black Samson,1974,Action,Unknown Director,4.7,66345,76,28.3
Blazing Saddles,1974,"Western, Comedy",Wes Anderson,4.9,576,108,96.7
Bootleggers,1974,"Crime, Comedy, Drama",Paul Thomas Anderson,5.7,72871,86,25.2
Bring Me the Head of Alfredo Garcia,1974,"Thriller, Western",David Fincher,6.0,8823,107,21.5
Buster and Billie,1974,"Crime, Drama, Noir",Denis Villeneuve,5.3,56943,92,
Busting,1974,"Crime, Comedy",James Cameron,5.6,35465,93,219.6
Caged Heat,1974,Action,Steven Spielberg,6.0,27958,109,
The California Kid,1974,"Action, Horror, Thriller",Christopher Nolan,7.1,19184,111,29.4
California Split,1974,"Comedy, Drama",Peter Jackson,6.2,71554,131,40.8
The Castaway Cowboy,1974,"Family, Comedy, Western",Francis Ford Coppola,8.3,13161,124,
Catch My Soul,1974,Musical,Coen Brothers,7.5,105001,127,
Chinatown,1974,"Mystery, Noir",Coen Brothers,7.6,128215,87,
Chosen Survivors,1974,"Science Fiction, Horror",Quentin Tarantino,7.4,37450,106,
Claudine,1974,"Drama, Comedy, Romance",James Cameron,6.4,53381,101,116.0
Cockfighter,1974,Drama,Wes Anderson,6.5,40800,132,8.6
Conrack,1974,"Drama, Biography",Denis Villeneuve,5.2,38795,114,
The Conversation,1974,"Mystery, Thriller",Quentin Tarantino,7.6,157523,153,40.4
Crazy Joe,1974,"Crime, Drama",Unknown Director,6.0,6329,102,298.0
The Crazy World of Julius Vrooder,1974,"Comedy, Drama",Ridley Scott,6.5,20705,131,
Cry Panic,1974,"Mystery, Thriller",Ridley Scott,5.7,91976,89,376.2
Daisy Miller,1974,Drama,Wes Anderson,5.1,10114,171,227.2
Dark Star,1974,"Science Fiction, Comedy",Christopher Nolan,5.1,13865,103,
Death Cruise,1974,Mystery,Francis Ford Coppola,6.8,21043,94,96.0
The Death Squad,1974,"Crime, Drama",Francis Ford Coppola,5.2,84964,117,
Death Wish,1974,"Thriller, Action, Noir",James Cameron,7.0,7548,126,577.2
"Dirty Mary, Crazy Larry",1974,"Action, Crime, Drama",Unknown Director,4.5,43171,131,7.4
Dirty O'Neil,1974,"Comedy, Thriller",Steven Spielberg,5.3,44526,117,295.8
The Dove,1974,"Drama, Biography",Steven Spielberg,4.8,50642,122,
Dynamite Brothers,1974,"Action, Martial Arts",David Fincher,7.2,70235,97,
Earthquake,1974,"Disaster, Drama",David Fincher,4.9,2518,93,
The Education of Sonny Carson,1974,Drama,James Cameron,7.9,24535,153,53.4
Flesh Gordon,1974,"Erotic, Comedy, Satire",Peter Jackson,5.2,20501,111,231.7
For Pete's Sake,1974,Comedy,Unknown Director,7.0,173239,95,
Foxy Brown,1974,Crime,Quentin Tarantino,4.8,29809,96,
Freebie and the Bean,1974,"Crime, Comedy, Action",Martin Scorsese,6.6,40555,106,266.3
The Front Page,1974,"Comedy, Drama",David Fincher,5.7,17026,120,1404.8
The Gambler,1974,"Drama, Crime",Christopher Nolan,5.4,4291,101,
'Gator Bait,1974,Thriller,Denis Villeneuve,8.4,64447,111,110.5
Ginger in the Morning,1974,"Romance, Comedy, Drama",Alfred Hitchcock,6.9,103530,120,
The Girl from Petrovka,1974,"Comedy, Drama",Denis Villeneuve,6.2,23893,83,
The Godfather Part II,1974,"Crime, Drama",James Cameron,7.2,40222,122,
Golden Needles,1974,"Adventure, Action",Quentin Tarantino,5.8,39380,128,
Gone in 60 Seconds,1974,Action,Stanley Kubrick,8.1,124606,121,611.1
The Gravy Train,1974,"Drama, Comedy, Crime",Unknown Director,7.8,67530,102,252.5
The Great Gatsby,1974,"Drama, Romance",Unknown Director,7.1,41472,77,22.8
The Groove Tube,1974,"Comedy, Independent",Unknown Director,6.0,100,113,1278.6
Hangup,1974,Action,Steven Spielberg,6.7,80063,106,
Harry and Tonto,1974,"Comedy, Drama",Stanley Kubrick,8.1,40908,108,
Heatwave!,1974,Disaster,Unknown Director,5.0,20443,129,
Herbie Rides Again,1974,"Family, Comedy",Steven Spielberg,6.4,91682,121,192.9
Homebodies,1974,"Comedy, Horror",Francis Ford Coppola,6.6,27935,90,
The House on Skull Mountain,1974,Horror,Peter Jackson,6.4,21076,96,60.3
How to Seduce a Woman,1974,Comedy,Wes Anderson,5.5,55027,128,493.8
Huckleberry Finn,1974,Musical,Alfred Hitchcock,7.3,59347,137,
Hurricane,1974,Disaster,Steven Spielberg,7.0,69715,96,63.6
The Island at the Top of the World,1974,"Adventure, Action, Fantasy",Wes Anderson,5.8,10213,76,
It's Alive,1974,"Horror, Science Fiction",Paul Thomas Anderson,6.7,25887,144,184.0
Juggernaut,1974,"Crime, Suspense",Steven Spielberg,4.7,31628,93,
Killdozer!,1974,"Science Fiction, Horror",Peter Jackson,7.1,264569,92,
The Klansman,1974,Drama,Martin Scorsese,7.6,28903,117,
Knife for the Ladies,1974,"Western, Horror",James Cameron,8.2,31058,119,78.1
Law and Disorder,1974,"Crime, Comedy, Drama",Alfred Hitchcock,8.3,66658,102,
The Legend of Earl Durand,1974,Western,Denis Villeneuve,6.0,62331,109,
Lenny,1974,"Biography, Drama",Unknown Director,7.1,146971,101,
The Life and Times of Grizzly Adams,1974,"Adventure, Independent",Denis Villeneuve,8.2,58486,108,
The Little Prince,1974,"Musical, Fantasy, Science Fiction",David Fincher,4.8,6578,113,81.4
The Longest Yard,1974,"Sports, Comedy",James Cameron,6.1,20980,111,488.5
The Lords of Flatbush,1974,Drama,Ridley Scott,6.8,20610,64,
Lost in the Stars,1974,"Drama, Musical",Francis Ford Coppola,6.7,55126,108,162.7
Lovin' Molly,1974,Drama,Unknown Director,7.7,50255,107,
Macon County Line,1974,"Crime, Drama, Independent",Alfred Hitchcock,5.9,13039,115,81.6
Mama's Dirty Girls,1974,Thriller,Stanley Kubrick,7.6,4079,130,176.3
Mame,1974,Musical,Steven Spielberg,6.3,25872,91,8808.8
Man on a Swing,1974,Thriller,Denis Villeneuve,5.7,7391,133,9.6
The Man with the Golden Gun,1974,"Action, Spy",Coen Brothers,4.8,75225,99,157.2
McQ,1974,"Crime, Drama, Action",Francis Ford Coppola,7.7,74039,137,
The Midnight Man,1974,"Crime, Drama, Mystery",Unknown Director,6.1,90242,118,173.9
Mixed Company,1974,"Comedy, Drama",Unknown Director,7.0,28405,84,
The Morning After,1974,Drama,Unknown Director,5.0,73092,125,28.2
Mr. Majestyk,1974,Action,Francis Ford Coppola,8.3,145041,116,211.9
Murder on the Orient Express,1974,"Drama, Mystery",Wes Anderson,3.8,19125,96,
Newman's Law,1974,Crime,David Fincher,7.7,82151,66,188.5
The Nickel Ride,1974,"Crime, Noir",Coen Brothers,6.6,119227,110,49.0
Nightmare Circus,1974,Horror,Paul Thomas Anderson,6.5,44369,131,423.4
Nightmare Honeymoon,1974,"Thriller, Crime",Alfred Hitchcock,5.8,21623,115,1.9
Nine Lives of Fritz the Cat,1974,"Animated, Comedy, Erotic",Francis Ford Coppola,4.6,18575,121,38.7
Northeast of Seoul,1974,"Thriller, Action",Coen Brothers,7.8,160729,138,
Oliver Twist,1974,"Animated, Adventure, Drama",Denis Villeneuve,6.8,135400,118,34.0
Once Upon a Scoundrel,1974,Comedy,David Fincher,4.9,10586,101,30.6
Open Season,1974,Thriller,Coen Brothers,5.9,6349,98,44.1
Our Time,1974,Drama,Denis Villeneuve,5.8,3528,105,
The Parallax View,1974,"Thriller, Political",Wes Anderson,5.6,151399,111,107.3
The Phantom of Hollywood,1974,"Drama, Horror, Thriller",Paul Thomas Anderson,6.3,39418,119,
Phantom of the Paradise,1974,"Musical, Comedy, Horror",Denis Villeneuve,4.6,17424,113,46.2
Phase IV,1974,"Science Fiction, Horror",Denis Villeneuve,5.7,15603,127,
The Photographer,1974,Thriller,Stanley Kubrick,7.4,15977,94,
Planet Earth,1974,Science Fiction,Wes Anderson,6.3,44517,145,29.9
Policewomen,1974,Action,Unknown Director,6.0,13337,126,12.7
The Private Afternoons of Pamela Mann,1974,Erotic,Paul Thomas Anderson,7.2,17747,116,19.8
Report to the Commissioner,1974,"Crime, Drama",Unknown Director,7.1,4636,66,85.2
Rhinoceros,1974,Comedy,Ridley Scott,3.4,3547,97,
S*P*Y*S,1974,"Comedy, Spy",David Fincher,8.5,163644,118,57.6
The Savage Is Loose,1974,Drama,Denis Villeneuve,7.2,21529,119,34.7
Savage Sisters,1974,Action,Alfred Hitchcock,5.6,111902,102,1.3
Score,1974,"Erotic, Romance",James Cameron,6.8,145226,123,
Seizure,1974,Horror,Peter Jackson,6.6,11467,91,
Shanks,1974,Horror,Christopher Nolan,4.5,13034,145,4.1
The Single Girls,1974,Comedy,Unknown Director,4.3,24647,85,
The Spectre of Edgar Allan Poe,1974,Horror,Quentin Tarantino,5.9,47859,130,
The Spikes Gang,1974,Western,Coen Brothers,7.3,35130,60,154.8
Sugar Hill,1974,Horror,Francis Ford Coppola,6.8,37901,138,
The Sugarland Express,1974,"Crime, Drama",Unknown Director,7.2,46642,92,50.8
Summer School Teachers,1974,Thriller,Alfred Hitchcock,9.0,3934,112,86.3
The Super Cops,1974,"Crime, Drama, Action",Christopher Nolan,6.0,7886,84,
The Swinging Cheerleaders,1974,"Comedy, Drama",Ridley Scott,7.8,15785,112,
The Taking of Pelham One Two Three,1974,"Crime, Drama",Ridley Scott,7.2,32974,125,74.0
The Tamarind Seed,1974,"Drama, Thriller, War",Coen Brothers,5.2,53551,89,9.8
The Teacher,1974,"Thriller, Erotic",Paul Thomas Anderson,6.9,78155,134,297.0
The Terminal Man,1974,"Science Fiction, Horror",Paul Thomas Anderson,8.6,102156,132,
The Texas Chain Saw Massacre,1974,Horror,Unknown Director,8.3,23152,106,63.5
That's Entertainment!,1974,"Documentary, Musical",Wes Anderson,6.4,10727,109,129.6
Thieves Like Us,1974,"Drama, Crime",James Cameron,4.1,91795,104,
Thomasine & Bushrod,1974,Western,Peter Jackson,6.3,20816,60,
Three the Hard Way,1974,Action,Quentin Tarantino,5.5,8482,121,27.0
Thunder County,1974,Crime,Ridley Scott,4.5,60920,98,12.0
Thunderbolt and Lightfoot,1974,"Crime, Drama, Comedy",Ridley Scott,7.3,6647,78,45.6
TNT Jackson,1974,Action,Peter Jackson,6.6,28192,150,551.6
The Towering Inferno,1974,Disaster,Peter Jackson,6.2,39075,109,
The Treasure of Jamaica Reef,1974,Action,Martin Scorsese,4.0,22321,131,8.5
The Trial of Billy Jack,1974,"Drama, Action, Western",Wes Anderson,4.9,1772,123,91.5
Truck Stop Women,1974,Action,Alfred Hitchcock,6.6,79415,154,675.5
Truck Turner,1974,Action,Christopher Nolan,4.1,4422,125,4.0
The Ultimate Thrill,1974,Thriller,Steven Spielberg,7.0,51375,86,113.0
Uptown Saturday Night,1974,"Comedy, Action, Crime",Unknown Director,5.9,10768,129,1731.0
W,1974,"Mystery, Thriller",Alfred Hitchcock,6.2,1025,105,
Welcome to Arrow Beach,1974,Horror,Paul Thomas Anderson,7.5,26642,111,
Where the Lilies Bloom,1974,"Family, Drama",Wes Anderson,7.4,15974,103,109.6
Where the Red Fern Grows,1974,"Family, Drama",Denis Villeneuve,6.7,4634,73,
The White Dawn,1974,"Adventure, Drama",Christopher Nolan,7.0,56207,108,
Willie Dynamite,1974,Crime,James Cameron,4.9,1737,120,
A Woman Under the Influence,1974,Drama,Quentin Tarantino,5.9,1566,133,74.1
The Working Girls,1974,"Comedy, Erotic",Wes Anderson,7.8,2270,92,783.3
The Yakuza,1974,"Noir, Crime, Drama",James Cameron,5.6,57879,135,
The Year Without a Santa Claus,1974,Animated,Peter Jackson,6.8,12407,138,73.0
Young Frankenstein,1974,"Comedy, Horror",Martin Scorsese,6.1,33471,126,91.4
Zandy's Bride,1974,Western,Ridley Scott,5.3,60415,138,1406.0
Zardoz,1974,"Science Fiction, Fantasy",Francis Ford Coppola,4.8,19292,85,
Exploratorium,1974,"Documentary, Short",Denis Villeneuve,6.8,1856,111,749.5
F for Fake,1974,"Documentary, Drama",David Fincher,6.4,8919,86,14.8
Hearts and Minds,1974,"Documentary, War",Steven Spielberg,5.2,23755,100,268.0
Ladies and Gentlemen: The Rolling Stones,1974,"Documentary, Performance",Ridley Scott,5.8,41187,98,54.5
92 in the Shade,1975,Drama,Quentin Tarantino,6.5,26284,125,39.8
Aaron Loves Angela,1975,"Drama, Comedy",Wes Anderson,5.8,6071,126,69.3
The Adventure of Sherlock Holmes' Smarter Brother,1975,"Comedy, Musical",Denis Villeneuve,7.9,175263,83,
The Adventures of the Wilderness Family,1975,"Family, Adventure, Drama",Unknown Director,6.9,150960,82,133.4
Against a Crooked Sky,1975,Western,Francis Ford Coppola,6.6,118837,100,39.7
"Aloha, Bobby and Rose",1975,Drama,Wes Anderson,6.8,17019,107,
The Apple Dumpling Gang,1975,"Family, Comedy, Western",Stanley Kubrick,6.9,126773,96,441.4
At Long Last Love,1975,"Musical, Comedy",Ridley Scott,7.0,5960,97,41.5
Best Friends,1975,Drama,Coen Brothers,5.4,6431,82,
Bite the Bullet,1975,Western,Martin Scorsese,5.7,13022,166,
The Black Bird,1975,Comedy,Stanley Kubrick,8.5,53339,94,110.1
Black Fist,1975,Action,Peter Jackson,7.3,44538,111,3379.8
Blazing Stewardesses,1975,"Comedy, Erotic",Unknown Director,6.4,9388,92,
Boss Nigger,1975,Western,Martin Scorsese,8.7,22107,110,9.1
A Boy and His Dog,1975,"Comedy, Science Fiction",Martin Scorsese,6.2,27256,145,33.5
Breakheart Pass,1975,Western,Quentin Tarantino,5.8,36323,125,
Breakout,1975,Action,Stanley Kubrick,5.9,4194,114,
"Brother, Can You Spare a Dime?",1975,Documentary,Christopher Nolan,7.2,4162,95,1299.5
Bucktown,1975,"Action, Crime",Denis Villeneuve,6.8,21676,70,126.2
Bug,1975,"Horror, War",Ridley Scott,5.5,88595,108,
Bugs Bunny: Superstar,1975,Documentary,Peter Jackson,5.2,6561,118,120.1
The Candy Tangerine Man,1975,"Action, Adventure",Quentin Tarantino,5.9,69344,108,25.4
Capone,1975,"Biography, Crime, War",Coen Brothers,7.2,32992,126,64.4
Cleopatra Jones and the Casino of Gold,1975,"Action, Adventure",Alfred Hitchcock,8.3,125491,91,
Cooley High,1975,"Comedy, Drama",Alfred Hitchcock,5.2,49019,104,8.7
Coonskin,1975,"Animated, Live Action, Crime",Peter Jackson,6.3,75027,137,2.8
"Cornbread, Earl and Me",1975,"Crime, Drama",Wes Anderson,7.8,78047,143,3.9
Cover Girl Models,1975,Thriller,Francis Ford Coppola,6.6,58929,109,64.1
Crazy Mama,1975,"Action, Comedy",Steven Spielberg,4.5,1116,109,26.7
Darktown Strutters,1975,"Action, Comedy, Musical",James Cameron,6.3,13512,111,
The Day of the Locust,1975,"Drama, Historical",Martin Scorsese,5.1,8238,101,
Deadly Hero,1975,"Crime, Thriller, Noir",Martin Scorsese,7.0,117422,81,17.7
The Deadly Tower,1975,"Action, Drama, Thriller",Quentin Tarantino,6.3,13911,109,19.1
Death Race 2000,1975,"Science Fiction, Action, Sports",Denis Villeneuve,5.6,44545,68,
The Devil's Rain,1975,"Horror, Supernatural",Francis Ford Coppola,7.5,86029,118,117.8
Diamonds,1975,"Crime, Action",David Fincher,5.6,3901,111,60.3
Doc Savage: The Man of Bronze,1975,"Action, Adventure",James Cameron,6.3,16577,91,
Dog Day Afternoon,1975,"Crime, Drama, Biography",Quentin Tarantino,3.5,5165,142,650.6
Dolemite,1975,"Crime, Comedy",David Fincher,6.0,118716,103,49.0
The Drowning Pool,1975,"Mystery, Thriller",Coen Brothers,8.4,26589,97,23.7
Dr. Minx,1975,"Comedy, Erotic",Unknown Director,8.6,123056,128,
The Eiger Sanction,1975,"Thriller, Action",Steven Spielberg,7.1,52149,111,5.8
